C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%);;;;
QUAL3;QUALICORP;ON      NM;278.971.994;0,02;;;;
RADL3;RAIADROGASIL;ON      NM;1.286.616.979;1,256;;;;
RAIL3;RUMO S.A.;ON      NM;1.216.914.397;1,005;;;;
RAIZ4;RAIZEN;PN      N2;1.198.936.529;0,12;;;;
RANI3;IRANI;ON      NM;106.179.855;0,032;;;;
RAPT4;RANDON PART;PN  EJ  N1;176.650.127;0,08;;;;
RCSL3;RECRUSUL;ON;1.374.716;0;;;;
RCSL4;RECRUSUL;PN;17.369.258;0,001;;;;
RDOR3;REDE D OR;ON  EJ  NM;1.145.289.019;1,352;;;;
RECV3;PETRORECSA;ON      NM;275.170.410;0,212;;;;
RENT3;LOCALIZA;ON      NM;965.986.531;1,464;;;;
SANB11;SANTANDER BR;UNT;356.586.730;0,392;;;;
SAPR11;SANEPAR;UNT EJ  N2;201.077.484;0,25;;;;
SBFG3;GRUPO SBF;ON      NM;147.103.192;0,072;;;;
SBSP3;SABESP;ON      NM;683.508.568;2,789;;;;
SEER3;SER EDUCA;ON      NM;52.255.107;0,01;;;;
SIMH3;SIMPAR;ON      NM;227.030.128;0,036;;;;
SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,155;;;;
SMFT3;SMART FIT;ON      NM;328.662.412;0,258;;;;
